timestamp,timestep,hour,zone_temp,pmv,hvac_energy_kwh,cumulative_energy_kwh,outdoor_temp,occupancy,cooling_setpoint,heating_setpoint,grid_carbon_intensity,step_carbon_emitted_kg
2024-07-01 00:00:00,1,0,22.01,-0.324,0.1125,0.112,21.5,0,22.7,19.5,310.0,0.0349
2024-07-01 00:15:00,2,0,22.01,-0.324,0.1125,0.225,21.32,0,22.7,19.5,310.0,0.0349
2024-07-01 00:30:00,3,0,22.01,-0.324,0.1125,0.337,21.15,0,22.7,19.5,310.0,0.0349
2024-07-01 00:45:00,4,0,22.0,-0.325,0.1125,0.45,20.98,0,22.7,19.5,310.0,0.0349
2024-07-01 01:00:00,5,1,21.99,-0.326,0.1125,0.562,20.8,0,22.7,19.5,295.0,0.0332
2024-07-01 01:15:00,6,1,21.98,-0.328,0.1125,0.675,20.65,0,22.7,19.5,295.0,0.0332
2024-07-01 01:30:00,7,1,21.96,-0.331,0.1125,0.788,20.5,0,22.7,19.5,295.0,0.0332
2024-07-01 01:45:00,8,1,21.94,-0.334,0.1125,0.9,20.35,0,22.7,19.5,295.0,0.0332
2024-07-01 02:00:00,9,2,21.92,-0.338,0.1125,1.013,20.2,0,22.7,19.5,280.0,0.0315
2024-07-01 02:15:00,10,2,21.89,-0.341,0.1125,1.125,20.1,0,22.7,19.5,280.0,0.0315
2024-07-01 02:30:00,11,2,21.87,-0.345,0.1125,1.238,20.0,0,22.7,19.5,280.0,0.0315
2024-07-01 02:45:00,12,2,21.84,-0.35,0.1125,1.35,19.9,0,22.7,19.5,280.0,0.0315
2024-07-01 03:00:00,13,3,21.81,-0.354,0.1125,1.463,19.8,0,22.7,19.5,275.0,0.0309
2024-07-01 03:15:00,14,3,21.77,-0.359,0.1125,1.575,19.73,0,22.7,19.5,275.0,0.0309
2024-07-01 03:30:00,15,3,21.74,-0.364,0.1125,1.688,19.65,0,22.7,19.5,275.0,0.0309
2024-07-01 03:45:00,16,3,21.71,-0.369,0.1125,1.8,19.57,0,22.7,19.5,275.0,0.0309
2024-07-01 04:00:00,17,4,21.67,-0.374,0.1125,1.913,19.5,0,22.7,19.5,285.0,0.0321
2024-07-01 04:15:00,18,4,21.64,-0.378,0.1125,2.025,19.75,0,22.7,19.5,285.0,0.0321
2024-07-01 04:30:00,19,4,21.62,-0.381,0.1125,2.138,20.0,0,22.7,19.5,285.0,0.0321
2024-07-01 04:45:00,20,4,21.61,-0.383,0.1125,2.25,20.25,0,22.7,19.5,285.0,0.0321
2024-07-01 05:00:00,21,5,21.6,-0.384,0.1125,2.362,20.5,0,22.7,19.5,320.0,0.036
2024-07-01 05:15:00,22,5,21.6,-0.384,0.1125,2.475,20.88,0,22.7,19.5,320.0,0.036
2024-07-01 05:30:00,23,5,21.61,-0.382,0.1125,2.587,21.25,0,22.7,19.5,320.0,0.036
2024-07-01 05:45:00,24,5,21.63,-0.379,0.1125,2.7,21.62,0,22.7,19.5,320.0,0.036
2024-07-01 06:00:00,25,6,21.66,-0.375,0.1125,2.812,22.0,0,22.7,19.5,410.0,0.0461
2024-07-01 06:15:00,26,6,21.7,-0.369,0.1125,2.925,22.5,0,22.7,19.5,410.0,0.0461
2024-07-01 06:30:00,27,6,21.76,-0.362,0.1125,3.037,23.0,0,22.7,19.5,410.0,0.0461
2024-07-01 06:45:00,28,6,21.82,-0.352,0.1125,3.15,23.5,0,22.7,19.5,410.0,0.0461
2024-07-01 07:00:00,29,7,21.89,-0.341,0.1125,3.262,24.0,0,22.7,19.5,460.0,0.0517
2024-07-01 07:15:00,30,7,21.98,-0.328,0.1125,3.375,24.55,0,22.7,19.5,460.0,0.0517
2024-07-01 07:30:00,31,7,22.08,-0.313,0.1125,3.487,25.1,0,22.7,19.5,460.0,0.0517
2024-07-01 07:45:00,32,7,22.19,-0.296,0.1125,3.6,25.65,0,22.7,19.5,460.0,0.0517
