timestamp,timestep,hour,zone_temp,pmv,hvac_energy_kwh,cumulative_energy_kwh,outdoor_temp,occupancy,cooling_setpoint,heating_setpoint
2026-07-01 00:00:00,1,0,22.02,-0.322,0.15,0.15,21.5,0,22.5,20.0
2026-07-01 00:15:00,2,0,22.04,-0.32,0.15,0.3,21.32,0,22.5,20.0
2026-07-01 00:30:00,3,0,22.05,-0.318,0.15,0.45,21.15,0,22.5,20.0
2026-07-01 00:45:00,4,0,22.05,-0.318,0.15,0.6,20.98,0,22.5,20.0
2026-07-01 01:00:00,5,1,22.05,-0.318,0.15,0.75,20.8,0,22.5,20.0
2026-07-01 01:15:00,6,1,22.04,-0.319,0.15,0.9,20.65,0,22.5,20.0
2026-07-01 01:30:00,7,1,22.03,-0.32,0.15,1.05,20.5,0,22.5,20.0
2026-07-01 01:45:00,8,1,22.02,-0.323,0.15,1.2,20.35,0,22.5,20.0
2026-07-01 02:00:00,9,2,22.0,-0.325,0.15,1.35,20.2,0,22.5,20.0
2026-07-01 02:15:00,10,2,21.98,-0.329,0.15,1.5,20.1,0,22.5,20.0
2026-07-01 02:30:00,11,2,21.95,-0.332,0.15,1.65,20.0,0,22.5,20.0
2026-07-01 02:45:00,12,2,21.93,-0.336,0.15,1.8,19.9,0,22.5,20.0
2026-07-01 03:00:00,13,3,21.9,-0.34,0.15,1.95,19.8,0,22.5,20.0
2026-07-01 03:15:00,14,3,21.87,-0.344,0.15,2.1,19.73,0,22.5,20.0
2026-07-01 03:30:00,15,3,21.84,-0.349,0.15,2.25,19.65,0,22.5,20.0
2026-07-01 03:45:00,16,3,21.81,-0.354,0.15,2.4,19.57,0,22.5,20.0
2026-07-01 04:00:00,17,4,21.78,-0.359,0.15,2.55,19.5,0,22.5,20.0
2026-07-01 04:15:00,18,4,21.75,-0.362,0.15,2.7,19.75,0,22.5,20.0
2026-07-01 04:30:00,19,4,21.73,-0.365,0.15,2.85,20.0,0,22.5,20.0
2026-07-01 04:45:00,20,4,21.73,-0.366,0.15,3.0,20.25,0,22.5,20.0
2026-07-01 05:00:00,21,5,21.73,-0.366,0.15,3.15,20.5,0,22.5,20.0
2026-07-01 05:15:00,22,5,21.74,-0.364,0.15,3.3,20.88,0,22.5,20.0
2026-07-01 05:30:00,23,5,21.76,-0.361,0.15,3.45,21.25,0,22.5,20.0
2026-07-01 05:45:00,24,5,21.79,-0.357,0.15,3.6,21.62,0,22.5,20.0
2026-07-01 06:00:00,25,6,21.83,-0.35,0.15,3.75,22.0,0,22.5,20.0
2026-07-01 06:15:00,26,6,21.89,-0.342,0.15,3.9,22.5,0,22.5,20.0
2026-07-01 06:30:00,27,6,21.96,-0.332,0.15,4.05,23.0,0,22.5,20.0
2026-07-01 06:45:00,28,6,22.04,-0.319,0.15,4.2,23.5,0,22.5,20.0
2026-07-01 07:00:00,29,7,22.13,-0.305,0.15,4.35,24.0,0,22.5,20.0
2026-07-01 07:15:00,30,7,22.24,-0.288,0.15,4.5,24.55,0,22.5,20.0
2026-07-01 07:30:00,31,7,22.36,-0.269,0.15,4.65,25.1,0,22.5,20.0
2026-07-01 07:45:00,32,7,22.5,-0.247,0.15,4.8,25.65,0,22.5,20.0
2026-07-01 08:00:00,33,8,22.9,-0.174,0.15,4.95,26.2,10,22.5,20.0
2026-07-01 08:15:00,34,8,22.3,-0.279,2.2324,7.182,26.77,10,22.5,20.0
2026-07-01 08:30:00,35,8,22.74,-0.205,0.15,7.332,27.35,10,22.5,20.0
2026-07-01 08:45:00,36,8,22.3,-0.279,1.2756,8.608,27.93,10,22.5,20.0
2026-07-01 09:00:00,37,9,22.77,-0.198,1.6057,10.214,28.5,10,22.5,20.0
2026-07-01 09:15:00,38,9,22.3,-0.279,1.3721,11.586,28.93,10,22.5,20.0
2026-07-01 09:30:00,39,9,22.8,-0.193,1.545,13.131,29.35,10,22.5,20.0
2026-07-01 09:45:00,40,9,22.3,-0.279,1.4504,14.581,29.77,10,22.5,20.0
2026-07-01 10:00:00,41,10,22.82,-0.188,2.2866,16.868,30.2,10,22.5,20.0
2026-07-01 10:15:00,42,10,22.3,-0.279,1.5272,18.395,30.6,10,22.5,20.0
2026-07-01 10:30:00,43,10,22.85,-0.183,2.7128,21.108,31.0,10,22.5,20.0
2026-07-01 10:45:00,44,10,22.3,-0.279,1.6009,22.709,31.4,10,22.5,20.0
2026-07-01 11:00:00,45,11,22.87,-0.179,2.8602,25.569,31.8,10,22.5,20.0
2026-07-01 11:15:00,46,11,22.3,-0.279,1.6605,27.229,31.98,10,22.5,20.0
2026-07-01 11:30:00,47,11,22.88,-0.177,2.938,30.167,32.15,10,22.5,20.0
2026-07-01 11:45:00,48,11,22.3,-0.279,1.6928,31.86,32.33,10,22.5,20.0
2026-07-01 12:00:00,49,12,22.89,-0.174,2.4175,34.278,32.5,10,22.5,20.0
2026-07-01 12:15:00,50,12,22.3,-0.279,1.7219,35.999,32.62,10,22.5,20.0
2026-07-01 12:30:00,51,12,22.9,-0.173,2.1892,38.189,32.75,10,22.5,20.0
2026-07-01 12:45:00,52,12,22.3,-0.279,1.7449,39.934,32.88,10,22.5,20.0
2026-07-01 13:00:00,53,13,22.91,-0.171,2.2353,42.169,33.0,10,22.5,20.0
2026-07-01 13:15:00,54,13,22.3,-0.279,1.757,43.926,32.95,10,22.5,20.0
2026-07-01 13:30:00,55,13,22.91,-0.172,2.2272,46.153,32.9,10,22.5,20.0
2026-07-01 13:45:00,56,13,22.3,-0.279,1.7478,47.901,32.85,10,22.5,20.0
2026-07-01 14:00:00,57,14,22.9,-0.172,2.6738,50.575,32.8,10,22.5,20.0
2026-07-01 14:15:00,58,14,22.3,-0.279,1.7292,52.304,32.6,10,22.5,20.0
2026-07-01 14:30:00,59,14,22.89,-0.175,2.8294,55.133,32.4,10,22.5,20.0
2026-07-01 14:45:00,60,14,22.3,-0.279,1.6924,56.826,32.2,10,22.5,20.0
2026-07-01 15:00:00,61,15,22.88,-0.178,2.7557,59.581,32.0,10,22.5,20.0
2026-07-01 15:15:00,62,15,22.3,-0.279,1.6446,61.226,31.62,10,22.5,20.0
2026-07-01 15:30:00,63,15,22.86,-0.182,2.6279,63.854,31.25,10,22.5,20.0
2026-07-01 15:45:00,64,15,22.3,-0.279,1.5755,65.429,30.88,10,22.5,20.0
2026-07-01 16:00:00,65,16,22.83,-0.186,2.0247,67.454,30.5,10,22.5,20.0
2026-07-01 16:15:00,66,16,22.3,-0.279,1.5033,68.957,30.07,10,22.5,20.0
2026-07-01 16:30:00,67,16,22.81,-0.191,1.6506,70.608,29.65,10,22.5,20.0
2026-07-01 16:45:00,68,16,22.3,-0.279,1.425,72.033,29.23,10,22.5,20.0
2026-07-01 17:00:00,69,17,22.78,-0.196,1.209,73.242,28.8,10,22.5,20.0
2026-07-01 17:15:00,70,17,22.3,-0.279,1.342,74.584,28.3,10,22.5,20.0
2026-07-01 17:30:00,71,17,22.75,-0.202,0.8941,75.478,27.8,10,22.5,20.0
2026-07-01 17:45:00,72,17,22.3,-0.279,1.2498,76.728,27.3,10,22.5,20.0
2026-07-01 18:00:00,73,18,22.47,-0.252,0.15,76.878,26.8,0,22.5,20.0
2026-07-01 18:15:00,74,18,22.62,-0.227,0.9866,77.864,26.4,0,22.5,20.0
2026-07-01 18:30:00,75,18,22.33,-0.274,0.5171,78.381,26.0,0,22.5,20.0
2026-07-01 18:45:00,76,18,22.46,-0.253,0.15,78.531,25.6,0,22.5,20.0
2026-07-01 19:00:00,77,19,22.58,-0.234,0.714,79.245,25.2,0,22.5,20.0
2026-07-01 19:15:00,78,19,22.37,-0.268,0.4055,79.651,24.9,0,22.5,20.0
2026-07-01 19:30:00,79,19,22.47,-0.251,0.15,79.801,24.6,0,22.5,20.0
2026-07-01 19:45:00,80,19,22.56,-0.236,0.5681,80.369,24.3,0,22.5,20.0
2026-07-01 20:00:00,81,20,22.4,-0.262,0.3329,80.702,24.0,0,22.5,20.0
2026-07-01 20:15:00,82,20,22.48,-0.25,0.15,80.852,23.75,0,22.5,20.0
