timestamp,timestep,hour,zone_temp,pmv,hvac_energy_kwh,cumulative_energy_kwh,cooling_setpoint,heating_setpoint
2026-07-01 00:00:00,1,0,22.0,-0.228,0.05,0.05,22.0,19.5
2026-07-01 00:15:00,2,0,21.86,-0.248,0.125,0.175,22.0,19.5
2026-07-01 00:30:00,3,0,21.86,-0.249,0.05,0.225,22.0,19.5
2026-07-01 00:45:00,4,0,21.84,-0.251,0.05,0.275,22.0,19.5
2026-07-01 01:00:00,5,1,21.82,-0.253,0.05,0.325,22.0,19.5
2026-07-01 01:15:00,6,1,21.8,-0.257,0.05,0.375,22.0,19.5
2026-07-01 01:30:00,7,1,21.77,-0.261,0.05,0.425,22.0,19.5
2026-07-01 01:45:00,8,1,21.73,-0.266,0.05,0.475,22.0,19.5
2026-07-01 02:00:00,9,2,21.69,-0.272,0.05,0.525,22.0,19.5
2026-07-01 02:15:00,10,2,21.65,-0.278,0.05,0.575,22.0,19.5
2026-07-01 02:30:00,11,2,21.6,-0.284,0.05,0.625,22.0,19.5
2026-07-01 02:45:00,12,2,21.56,-0.291,0.05,0.675,22.0,19.5
2026-07-01 03:00:00,13,3,21.51,-0.297,0.05,0.725,22.0,19.5
2026-07-01 03:15:00,14,3,21.46,-0.304,0.05,0.775,22.0,19.5
2026-07-01 03:30:00,15,3,21.4,-0.311,0.05,0.825,22.0,19.5
2026-07-01 03:45:00,16,3,21.35,-0.318,0.05,0.875,22.0,19.5
2026-07-01 04:00:00,17,4,21.3,-0.325,0.05,0.925,22.0,19.5
2026-07-01 04:15:00,18,4,21.26,-0.33,0.05,0.975,22.0,19.5
2026-07-01 04:30:00,19,4,21.23,-0.334,0.05,1.025,22.0,19.5
2026-07-01 04:45:00,20,4,21.21,-0.336,0.05,1.075,22.0,19.5
2026-07-01 05:00:00,21,5,21.2,-0.337,0.05,1.125,22.0,19.5
2026-07-01 05:15:00,22,5,21.22,-0.336,0.05,1.175,22.0,19.5
2026-07-01 05:30:00,23,5,21.24,-0.332,0.05,1.225,22.0,19.5
2026-07-01 05:45:00,24,5,21.28,-0.327,0.05,1.275,22.0,19.5
2026-07-01 06:00:00,25,6,21.33,-0.32,0.05,1.325,22.0,19.5
2026-07-01 06:15:00,26,6,21.41,-0.311,0.05,1.375,22.0,19.5
2026-07-01 06:30:00,27,6,21.5,-0.298,0.05,1.425,22.0,19.5
2026-07-01 06:45:00,28,6,21.61,-0.284,0.05,1.475,22.0,19.5
2026-07-01 07:00:00,29,7,21.73,-0.266,0.05,1.525,22.0,19.5
2026-07-01 07:15:00,30,7,21.87,-0.246,0.05,1.575,22.0,19.5
2026-07-01 07:30:00,31,7,22.03,-0.223,0.05,1.625,22.0,19.5
2026-07-01 07:45:00,32,7,21.8,-0.257,0.4038,2.029,22.0,19.5
2026-07-01 08:00:00,33,8,22.27,-0.187,0.05,2.079,22.0,19.5
2026-07-01 08:15:00,34,8,21.8,-0.257,1.3017,3.38,22.0,19.5
2026-07-01 08:30:00,35,8,22.32,-0.18,0.05,3.43,22.0,19.5
2026-07-01 08:45:00,36,8,21.8,-0.257,1.4516,4.882,22.0,19.5
2026-07-01 09:00:00,37,9,22.37,-0.172,0.05,4.932,23.5,19.5
2026-07-01 09:15:00,38,9,22.93,-0.08,0.05,4.982,23.5,19.5
2026-07-01 09:30:00,39,9,23.49,0.038,0.05,5.032,23.5,19.5
2026-07-01 09:45:00,40,9,24.04,0.17,0.05,5.082,23.5,19.5
2026-07-01 10:00:00,41,10,23.3,-0.005,1.7488,6.831,23.5,19.5
2026-07-01 10:15:00,42,10,23.89,0.134,0.05,6.881,23.5,19.5
2026-07-01 10:30:00,43,10,23.3,-0.005,1.6656,8.546,23.5,19.5
2026-07-01 10:45:00,44,10,23.93,0.142,0.05,8.596,23.5,19.5
2026-07-01 11:00:00,45,11,23.3,-0.005,1.7705,10.367,23.5,19.5
2026-07-01 11:15:00,46,11,23.95,0.148,0.05,10.417,23.5,19.5
2026-07-01 11:30:00,47,11,23.3,-0.005,1.8262,12.243,23.5,19.5
2026-07-01 11:45:00,48,11,23.97,0.152,0.05,12.293,23.5,19.5
2026-07-01 12:00:00,49,12,23.3,-0.005,1.8721,14.165,23.5,19.5
2026-07-01 12:15:00,50,12,23.98,0.155,0.05,14.215,23.5,19.5
2026-07-01 12:30:00,51,12,23.3,-0.005,1.907,16.122,23.5,19.5
2026-07-01 12:45:00,52,12,23.99,0.157,0.05,16.172,23.5,19.5
2026-07-01 13:00:00,53,13,23.3,-0.005,1.9398,18.112,23.5,19.5
2026-07-01 13:15:00,54,13,23.99,0.158,0.05,18.162,23.5,19.5
2026-07-01 13:30:00,55,13,23.3,-0.005,1.9343,20.096,23.5,19.5
2026-07-01 13:45:00,56,13,23.99,0.157,0.05,20.146,23.5,19.5
2026-07-01 14:00:00,57,14,23.3,-0.005,1.9212,22.067,23.5,19.5
2026-07-01 14:15:00,58,14,23.98,0.154,0.05,22.117,23.5,19.5
2026-07-01 14:30:00,59,14,23.3,-0.005,1.8753,23.993,23.5,19.5
2026-07-01 14:45:00,60,14,23.96,0.15,0.05,24.043,23.5,19.5
2026-07-01 15:00:00,61,15,23.3,-0.005,1.8229,25.866,23.5,19.5
2026-07-01 15:15:00,62,15,23.94,0.144,0.05,25.916,23.5,19.5
2026-07-01 15:30:00,63,15,23.3,-0.005,1.7322,27.648,23.5,19.5
2026-07-01 15:45:00,64,15,23.91,0.137,0.05,27.698,23.5,19.5
2026-07-01 16:00:00,65,16,23.3,-0.005,1.6339,29.332,23.5,19.5
2026-07-01 16:15:00,66,16,23.87,0.128,0.05,29.382,23.5,19.5
2026-07-01 16:30:00,67,16,23.3,-0.005,1.5246,30.906,23.5,19.5
2026-07-01 16:45:00,68,16,23.84,0.12,0.05,30.956,23.5,19.5
2026-07-01 17:00:00,69,17,23.3,-0.005,1.4132,32.37,23.5,19.5
2026-07-01 17:15:00,70,17,23.8,0.11,0.05,32.42,23.5,19.5
2026-07-01 17:30:00,71,17,21.8,-0.257,2.9729,35.393,22.0,19.5
2026-07-01 17:45:00,72,17,22.32,-0.18,0.05,35.443,22.0,19.5
2026-07-01 18:00:00,73,18,21.8,-0.257,0.801,36.243,22.0,19.5
2026-07-01 18:15:00,74,18,22.02,-0.225,0.05,36.293,22.0,19.5
2026-07-01 18:30:00,75,18,21.8,-0.257,0.4178,36.711,22.0,19.5
2026-07-01 18:45:00,76,18,21.98,-0.23,0.05,36.761,22.0,19.5
2026-07-01 19:00:00,77,19,22.14,-0.207,0.05,36.811,22.0,19.5
2026-07-01 19:15:00,78,19,21.81,-0.255,0.4518,37.263,22.0,19.5
2026-07-01 19:30:00,79,19,21.95,-0.235,0.05,37.313,22.0,19.5
2026-07-01 19:45:00,80,19,22.08,-0.217,0.05,37.363,22.0,19.5
2026-07-01 20:00:00,81,20,21.87,-0.247,0.303,37.666,22.0,19.5
2026-07-01 20:15:00,82,20,21.97,-0.232,0.05,37.716,22.0,19.5
2026-07-01 20:30:00,83,20,22.06,-0.219,0.05,37.766,22.0,19.5
2026-07-01 20:45:00,84,20,21.9,-0.242,0.2198,37.986,22.0,19.5
2026-07-01 21:00:00,85,21,21.97,-0.232,0.05,38.036,22.0,19.5
2026-07-01 21:15:00,86,21,22.03,-0.223,0.05,38.086,22.0,19.5
2026-07-01 21:30:00,87,21,21.94,-0.237,0.1371,38.223,22.0,19.5
2026-07-01 21:45:00,88,21,21.98,-0.23,0.05,38.273,22.0,19.5
2026-07-01 22:00:00,89,22,22.02,-0.226,0.05,38.323,22.0,19.5
2026-07-01 22:15:00,90,22,21.91,-0.241,0.125,38.448,22.0,19.5
2026-07-01 22:30:00,91,22,21.93,-0.238,0.05,38.498,22.0,19.5
2026-07-01 22:45:00,92,22,21.95,-0.236,0.05,38.548,22.0,19.5
2026-07-01 23:00:00,93,23,21.96,-0.234,0.05,38.598,22.0,19.5
2026-07-01 23:15:00,94,23,21.97,-0.233,0.05,38.648,22.0,19.5
2026-07-01 23:30:00,95,23,21.97,-0.232,0.05,38.698,22.0,19.5
2026-07-01 23:45:00,96,23,21.98,-0.231,0.05,38.748,22.0,19.5
